datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/4 6:00,13.6,12.4,0.48000002,-3.5122943,-0.9236736,19.138336,3.632424,75.29828,90.67585,1014.23706,0,0,1261761.5,7.511859,82.50633,305.95453,65.4
2022/1/4 7:00,13.75,14.6,0.52,-3.7410386,-1.0512879,19.245422,3.8861063,74.31659,90.13944,1014.38855,0.000512227,0,1274824.5,7.3875055,81.97152,296.81894,63
2022/1/4 8:00,16,25.6,0.56000006,-3.8906708,-1.0751734,19.581268,4.0365353,74.55956,89.22298,1014.80505,0.001586974,92531.5,1274950.5,6.9158974,79.98907,323.27832,61.6
2022/1/4 9:00,16.8,17.6,0.56000006,-4.278414,-0.9385579,20.562294,4.380292,77.63876,86.12408,1015.28986,0,557401.75,1291958.5,6.730296,77.62329,448.53204,73.4
2022/1/4 10:00,17.4,10.6,0.54,-5.076672,-0.912894,21.555504,5.1590457,79.8184,81.236755,1015.67773,0.000983477,1197571.8,1320002.5,6.385002,78.34745,562.97003,87.2
2022/1/4 11:00,18.4,8.4,0.5,-4.9836893,-0.9846133,22.24427,5.082218,78.820366,77.55864,1015.4111,0.008359551,1801084.9,1319434.5,6.11557,78.636925,640.5604,95.25
2022/1/4 12:00,19.6,7.8,0.525,-4.59194,-1.6066709,22.632423,4.865466,70.70789,76.01739,1014.90857,0.035414472,1935999.9,1393478,5.8881493,79.00829,659.54944,102.4
2022/1/4 13:00,19.8,4,0.52,-4.282631,-2.7527828,22.577896,5.0914216,57.249714,77.53752,1013.8463,0.0900086,1798743.4,1422839,5.722286,78.65389,562.03815,108
2022/1/4 14:00,21.2,3.6,0.52,-4.3716073,-3.2512507,22.50476,5.4506426,53.31855,77.91593,1012.49304,0.15197322,1915105.6,1390782.8,4.81608,79.035446,538.2064,111.4
2022/1/4 15:00,21,3.4,0.5,-4.201456,-3.500601,21.976082,5.482568,50.16014,80.76749,1012.33435,0.1411587,1651490,1387094.2,5.106903,74.15713,507.56134,111
2022/1/4 16:00,21.4,6,0.5,-4.3644385,-3.7783287,21.67804,5.784281,49.069267,81.630325,1012.0236,0.06934814,1205316.8,1342981.5,5.4051,76.33746,489.38202,108.2
2022/1/4 17:00,21.6,5.8,0.5,-4.1326146,-3.616282,21.118568,5.494703,48.797054,85.374405,1012.39606,0.06295554,599010.25,1410498,5.559184,77.09995,474.54834,111.8
2022/1/4 18:00,22,8.4,0.52,-4.1502204,-3.2532668,20.711128,5.2746105,51.897808,87.30345,1012.7245,0.006392598,218854.25,1395179.5,6.3721933,78.27388,411.79156,112.6
